iter	RMSE
567	49699.64644
568	49685.46197
569	49675.54166
570	49667.77205
571	49657.6718
572	49649.09946
573	49632.78282
574	49616.65592
575	49610.11833
576	49602.89793
577	49594.75232
578	49581.21022
579	49570.16212
580	49563.43535
581	49549.37599
582	49532.85614
583	49523.41172
584	49512.24977
585	49495.29134
586	49481.10094
587	49469.87103
588	49457.58937
589	49448.86963
590	49443.15517
591	49433.04716
592	49416.38482
593	49406.08914
594	49401.74241
595	49388.41309
596	49374.48141
597	49359.7596
598	49342.89954
599	49330.61506
600	49322.27486
601	49315.23963
602	49306.28758
603	49294.76416
604	49278.59074
605	49264.97488
606	49253.62408
607	49246.31839
608	49232.77295
609	49223.28711
610	49209.75289
611	49189.08464
612	49174.98998
613	49166.49719
614	49154.6279
615	49142.74513
616	49127.89461
617	49117.44151
618	49108.13738
619	49099.22684
620	49087.73645
621	49072.23477
622	49059.56637
623	49053.9464
624	49043.63987
625	49030.1813
626	49020.02085
627	49010.81051
628	49001.15913
629	48986.71062
630	48974.7262
631	48954.54416
632	48938.64682
633	48926.99562
634	48908.2074
635	48897.42363
636	48889.01442
637	48881.98359
638	48869.13811
639	48861.88086
640	48845.9228
641	48835.88418
642	48825.19311
643	48816.95157
644	48808.22066
645	48792.53596
646	48780.99597
647	48772.37413
648	48765.24975
649	48749.72641
650	48736.80936
651	48726.47456
652	48707.32077
653	48697.40692
654	48684.59151
655	48674.72848
656	48664.06156
657	48655.47646
658	48645.85043
659	48636.85768
660	48622.16902
661	48616.05745
662	48605.5562
663	48587.7608
664	48576.94726
665	48564.43049
666	48549.52344
667	48538.69824
668	48529.95231
669	48520.17452
670	48507.77592
671	48493.05099
672	48474.81193
673	48463.42179
674	48456.30446
675	48446.3038
676	48438.85893
677	48429.10688
678	48419.91313
679	48403.43534
680	48394.54255
681	48382.41367
682	48371.31642
683	48362.56175
684	48357.60357
685	48344.05278
686	48332.64045
687	48316.98133
688	48304.09529
689	48290.71784
690	48284.52665
691	48270.74363
692	48260.49028
693	48252.90379
694	48241.77473
695	48224.5242
696	48214.57453
697	48200.13542
698	48189.36514
699	48178.08618
700	48169.05195
701	48160.50239
702	48149.22981
703	48136.8501
704	48121.27295
705	48111.56701
706	48096.53953
707	48088.16551
708	48080.49441
709	48065.32279
710	48052.08871
711	48044.99991
712	48035.19436
713	48024.21063
714	48008.77063
715	47994.83374
716	47984.37998
717	47967.93137
718	47953.73662
719	47946.37898
720	47934.37679
721	47920.91811
722	47906.26028
723	47897.74948
724	47891.16392
725	47883.34391
726	47875.2092
727	47862.45099
728	47850.32149
729	47842.14686
730	47831.83289
731	47820.47207
732	47810.43409
733	47800.04331
734	47793.4818
735	47783.66324
736	47777.812
737	47769.21352
738	47753.8599
739	47741.30534
740	47733.80983
741	47725.35897
742	47713.3959
743	47706.41812
744	47698.79388
745	47686.82706
746	47675.59704
747	47670.79669
748	47662.39544
749	47655.63869
750	47644.89056
751	47636.44156
752	47621.84888
753	47614.42585
754	47604.05151
755	47591.60466
756	47586.88176
757	47573.06495
758	47562.42808
759	47547.472
760	47543.19954
761	47532.07655
762	47524.52262
763	47507.713
764	47500.42856
765	47491.2456
766	47481.98626
767	47470.30945
768	47460.84549
769	47447.94489
770	47437.41992
771	47429.54589
772	47421.04197
773	47405.07217
774	47398.64284
775	47389.85599
776	47381.75569
777	47367.86362
778	47357.87116
779	47350.79008
780	47339.33047
781	47330.29239
782	47313.95803
783	47309.39
784	47298.83403
785	47291.87054
786	47283.20822
787	47276.6121
788	47269.34643
789	47257.20839
790	47243.43269
791	47229.91804
792	47218.18763
793	47210.74888
794	47202.69492
795	47190.70704
796	47183.10233
797	47172.065
798	47157.60667
799	47150.22247
800	47140.86629
801	47129.31739
802	47114.97973
803	47102.46502
804	47089.22248
805	47083.02473
806	47069.95746
807	47058.96321
808	47050.05092
809	47038.44068
810	47028.56527
811	47020.388
812	47012.96962
813	47002.92454
814	46994.41606
815	46980.58601
816	46972.99163
817	46965.0114
818	46957.46003
819	46947.61842
820	46939.54241
821	46935.78199
822	46930.23071
823	46919.98058
824	46911.71214
825	46905.72665
826	46891.42875
827	46884.84597
828	46873.16755
829	46866.03532
830	46857.17472
831	46844.76188
832	46833.77268
833	46824.74406
834	46814.72733
835	46808.48233
836	46803.13384
837	46793.02859
838	46782.69095
839	46771.68802
840	46754.8495
841	46741.30423
842	46732.41018
843	46718.12181
844	46710.71297
845	46705.55991
846	46701.39117
847	46692.64061
848	46681.81567
849	46674.98111
850	46662.22422
851	46645.48165
852	46640.65714
853	46636.89152
854	46629.56748
855	46622.78048
856	46613.42197
857	46606.82692
858	46592.85971
859	46585.77683
860	46573.58201
861	46562.76124
862	46554.01356
863	46540.79207
864	46521.80912
865	46516.4218
866	46508.49277
867	46493.90122
868	46481.71502
869	46464.9563
870	46455.05177
871	46449.12346
872	46439.48263
873	46429.77885
874	46415.93753
875	46407.45444
876	46396.317
877	46387.76563
878	46376.92374
879	46371.0565
880	46360.24928
881	46350.46799
882	46344.52106
883	46331.18303
884	46325.29644
885	46313.85067
886	46307.32926
887	46301.65164
888	46293.72785
889	46290.19952
890	46280.52888
891	46272.98624
892	46263.64832
893	46248.94435
894	46238.86904
895	46231.49222
896	46224.58559
897	46219.43037
898	46209.47065
899	46202.72272
900	46197.80615
901	46187.75215
902	46183.70503
903	46174.43873
904	46164.58949
905	46142.71099
906	46138.82038
907	46130.94392
908	46123.33915
909	46114.61376
910	46103.26374
911	46096.18989
912	46085.96544
913	46073.10124
914	46065.78889
915	46055.30459
916	46049.70174
917	46040.12625
918	46032.11801
919	46020.64038
920	46012.98405
921	46001.91887
922	45997.33597
923	45990.68233
924	45979.44685
925	45969.22051
926	45951.61888
927	45942.91972
928	45931.27758
929	45925.95965
930	45913.0614
931	45900.78551
932	45892.90547
933	45884.15418
934	45880.26906
935	45872.84995
936	45861.93285
937	45856.66709
938	45849.39913
939	45839.12044
940	45827.06857
941	45820.36452
942	45810.33192
943	45803.21355
944	45794.35977
945	45789.51931
946	45774.26155
947	45768.54778
948	45756.67414
949	45749.62067
950	45745.46932
951	45734.04345
952	45722.2687
953	45714.49427
954	45710.08075
955	45706.55803
956	45698.57757
957	45692.40042
958	45680.74011
959	45664.34593
960	45654.60637
961	45643.92439
962	45635.36366
963	45622.93164
964	45612.5176
965	45602.19572
966	45593.50714
967	45580.66962
968	45575.73906
969	45572.8814
970	45564.74711
971	45552.97095
972	45541.78902
973	45534.07986
974	45527.60349
975	45520.7403
976	45509.59007
977	45500.36348
978	45493.05856
979	45486.65155
980	45475.17526
981	45464.14097
982	45448.93564
983	45438.41251
984	45428.41024
985	45420.05138
986	45412.00918
987	45407.65834
988	45402.29294
989	45391.44556
990	45379.85536
991	45369.85547
992	45360.33662
993	45350.7822
994	45337.08474
995	45329.53005
996	45317.0135
997	45306.65256
998	45300.77617
999	45291.36547
